,JPN01-SolarGrid-post2016_exo,JPN02-SolarGrid-post2016_exo,JPN03-SolarGrid-post2016_exo,JPN04-SolarGrid-post2016_exo,JPN05-SolarGrid-post2016_exo,JPN06-SolarGrid-post2016_exo,JPN07-SolarGrid-post2016_exo,JPN08-SolarGrid-post2016_exo,JPN09-SolarGrid-post2016_exo,JPN01-OnshoreWind-post2016_exo,JPN02-OnshoreWind-post2016_exo,JPN03-OnshoreWind-post2016_exo,JPN04-OnshoreWind-post2016_exo,JPN05-OnshoreWind-post2016_exo,JPN06-OnshoreWind-post2016_exo,JPN07-OnshoreWind-post2016_exo,JPN08-OnshoreWind-post2016_exo,JPN09-OnshoreWind-post2016_exo,JPN01-SolarGrid-pre2016_exo,JPN02-SolarGrid-pre2016_exo,JPN03-SolarGrid-pre2016_exo,JPN04-SolarGrid-pre2016_exo,JPN05-SolarGrid-pre2016_exo,JPN06-SolarGrid-pre2016_exo,JPN07-SolarGrid-pre2016_exo,JPN08-SolarGrid-pre2016_exo,JPN09-SolarGrid-pre2016_exo,JPN01-OnshoreWind-pre2016_exo,JPN02-OnshoreWind-pre2016_exo,JPN03-OnshoreWind-pre2016_exo,JPN04-OnshoreWind-pre2016_exo,JPN05-OnshoreWind-pre2016_exo,JPN06-OnshoreWind-pre2016_exo,JPN07-OnshoreWind-pre2016_exo,JPN08-OnshoreWind-pre2016_exo,JPN09-OnshoreWind-pre2016_exo
2848,0.123,0.215,0.171,0.037,0.07,0.057,0.043,0.038,0.036,0.106,0.134,0.333,0.136,0.275,0.507,0.572,0.712,0.48,0.123,0.471,0.171,0.037,0.07,0.057,0.043,0.038,0.036,0.106,0.134,0.333,0.136,0.275,0.507,0.572,0.712,0.48
2849,0.031,0.042,0.034,0.006,0.018,0.025,0.019,0.019,0.015,0.115,0.082,0.356,0.149,0.246,0.475,0.458,0.759,0.515,0.031,0.215,0.034,0.006,0.018,0.025,0.019,0.019,0.015,0.115,0.082,0.356,0.149,0.246,0.475,0.458,0.759,0.515
2850,0,0,0.001,0,0.003,0.002,0.003,0.004,0.002,0.142,0.06,0.378,0.178,0.348,0.521,0.409,0.759,0.555,0,0.042,0.001,0,0.003,0.002,0.003,0.004,0.002,0.142,0.06,0.378,0.178,0.348,0.521,0.409,0.759,0.555
2851,0,0,0,0,0.001,0,0,0,0,0.179,0.07,0.378,0.235,0.37,0.594,0.375,0.759,0.425,0,0,0,0,0.001,0,0,0,0,0.179,0.07,0.378,0.235,0.37,0.594,0.375,0.759,0.425
2852,0,0,0,0,0.001,0,0,0,0,0.251,0.101,0.378,0.301,0.442,0.654,0.348,0.806,0.307,0,0,0,0,0.001,0,0,0,0,0.251,0.101,0.378,0.301,0.442,0.654,0.348,0.806,0.307
2853,0,0,0,0,0,0,0,0,0,0.257,0.116,0.378,0.362,0.507,0.696,0.356,0.759,0.234,0,0,0,0,0,0,0,0,0,0.257,0.116,0.378,0.362,0.507,0.696,0.356,0.759,0.234
2854,0,0,0,0,0,0,0,0,0,0.235,0.108,0.378,0.339,0.601,0.65,0.341,0.712,0.181,0,0,0,0,0,0,0,0,0,0.235,0.108,0.378,0.339,0.601,0.65,0.341,0.712,0.181
2855,0,0,0,0,0,0,0,0,0,0.355,0.102,0.356,0.317,0.623,0.668,0.379,0.664,0.241,0,0,0,0,0,0,0,0,0,0.355,0.102,0.356,0.317,0.623,0.668,0.379,0.664,0.241
2856,0,0,0,0,0,0,0,0,0,0.438,0.119,0.422,0.311,0.551,0.654,0.455,0.664,0.437,0,0,0,0,0,0,0,0,0,0.438,0.119,0.422,0.311,0.551,0.654,0.455,0.664,0.437
2857,0,0,0,0,0,0,0,0,0,0.44,0.166,0.444,0.308,0.464,0.599,0.496,0.569,0.495,0,0,0,0,0,0,0,0,0,0.44,0.166,0.444,0.308,0.464,0.599,0.496,0.569,0.495
