hour,node,node_name,technology,user_data
19,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.44
20,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.49
20,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.38
20,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.44
20,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
20,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.94
20,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.86
20,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.42
20,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
20,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.46
21,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.49
21,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.38
21,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.44
21,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
21,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.95
21,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.86
21,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.43
21,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
21,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.47
22,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.5
22,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
22,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.44
22,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
22,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.95
22,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.87
22,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.43
22,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
22,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.48
23,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.51
23,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
23,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.45
23,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.56
23,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.95
23,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.87
23,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.44
23,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.52
23,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.48
