Country,Technology,Year,OvernightCapitalCost,FixedCost,VariableCost,Efficiency
THA,geothermal-unspecified,2050,3453400,,0.226,0.7
IDN,hydro-pumped-storage,2023,1200000,18700,0.94,0.75
IDN,hydro-pumped-storage,2030,1200000,18700,0.94,0.75
IDN,hydro-pumped-storage,2050,1200000,18700,0.94,0.75
VNM,hydro-pumped-storage,2023,890000,8320,1.4,0.75
VNM,hydro-pumped-storage,2030,890000,8320,1.4,0.75
VNM,hydro-pumped-storage,2050,890000,8320,1.4,0.75
BRN,hydro-pumped-storage,2023,1020800,,1.162775,0.75
BRN,hydro-pumped-storage,2030,1020800,,1.162775,0.75
BRN,hydro-pumped-storage,2050,1020800,,1.162775,0.75
KHM,hydro-pumped-storage,2023,1020800,,1.162775,0.75
KHM,hydro-pumped-storage,2030,1020800,,1.162775,0.75
KHM,hydro-pumped-storage,2050,1020800,,1.162775,0.75
LAO,hydro-pumped-storage,2023,1020800,,1.162775,0.75
LAO,hydro-pumped-storage,2030,1020800,,1.162775,0.75
LAO,hydro-pumped-storage,2050,1020800,,1.162775,0.75
MMR,hydro-pumped-storage,2023,1020800,,1.162775,0.75
MMR,hydro-pumped-storage,2030,1020800,,1.162775,0.75
MMR,hydro-pumped-storage,2050,1020800,,1.162775,0.75
MYS,hydro-pumped-storage,2023,1020800,,1.162775,0.75
MYS,hydro-pumped-storage,2030,1020800,,1.162775,0.75
MYS,hydro-pumped-storage,2050,1020800,,1.162775,0.75
PHL,hydro-pumped-storage,2023,1020800,,1.162775,0.75
PHL,hydro-pumped-storage,2030,1020800,,1.162775,0.75
PHL,hydro-pumped-storage,2050,1020800,,1.162775,0.75
SGP,hydro-pumped-storage,2023,1020800,,1.162775,0.75
SGP,hydro-pumped-storage,2030,1020800,,1.162775,0.75
SGP,hydro-pumped-storage,2050,1020800,,1.162775,0.75
THA,hydro-pumped-storage,2023,1020800,,1.162775,0.75
THA,hydro-pumped-storage,2030,1020800,,1.162775,0.75
THA,hydro-pumped-storage,2050,1020800,,1.162775,0.75
IDN,hydro-unspecified,2023,2200000,43000,0.74,0.75
IDN,hydro-unspecified,2030,2110000,41000,0.71,0.75
IDN,hydro-unspecified,2050,1960000,38000,0.66,0.75
IDN,hydro-unspecified,2023,2700000,60400,0.57,0.75
IDN,hydro-unspecified,2030,2590000,58000,0.55,0.75
IDN,hydro-unspecified,2050,2400000,54000,0.51,0.75
IDN,hydro-unspecified,2023,2500000,47800,0.57,0.75
IDN,hydro-unspecified,2030,2400000,45800,0.55,0.75
IDN,hydro-unspecified,2050,2230000,42500,0.51,0.75
VNM,hydro-unspecified,2023,1500000,37700,0.65,0.75
VNM,hydro-unspecified,2030,1500000,35800,0.62,0.75
VNM,hydro-unspecified,2050,1500000,33600,0.58,0.75
VNM,hydro-unspecified,2023,2700000,60400,0.57,0.75
VNM,hydro-unspecified,2030,2592000,58000,0.5472,0.75
VNM,hydro-unspecified,2050,2403000,54000,0.5073,0.75
VNM,hydro-unspecified,2023,1750000,41900,0.5,0.75
VNM,hydro-unspecified,2030,1750000,39800,0.48,0.75
VNM,hydro-unspecified,2050,1750000,37300,0.45,0.75
BRN,hydro-unspecified,2023,1803000,,0.6821,0.75
BRN,hydro-unspecified,2030,1762080,,0.65255,0.75
BRN,hydro-unspecified,2050,1690470,,0.6085,0.75
BRN,hydro-unspecified,2023,2659500,,0.56145,0.75
BRN,hydro-unspecified,2030,2553120,,0.538992,0.75
BRN,hydro-unspecified,2050,2366955,,0.4996905,0.75
BRN,hydro-unspecified,2023,2072500,,0.52505,0.75
BRN,hydro-unspecified,2030,2026000,,0.504048,0.75
BRN,hydro-unspecified,2050,1944625,,0.472545,0.75
KHM,hydro-unspecified,2023,1803000,,0.6821,0.75
KHM,hydro-unspecified,2030,1762080,,0.65255,0.75
KHM,hydro-unspecified,2050,1690470,,0.6085,0.75
KHM,hydro-unspecified,2023,2659500,,0.56145,0.75
KHM,hydro-unspecified,2030,2553120,,0.538992,0.75
KHM,hydro-unspecified,2050,2366955,,0.4996905,0.75
KHM,hydro-unspecified,2023,2072500,,0.52505,0.75
KHM,hydro-unspecified,2030,2026000,,0.504048,0.75
KHM,hydro-unspecified,2050,1944625,,0.472545,0.75
LAO,hydro-unspecified,2023,1803000,,0.6821,0.75
LAO,hydro-unspecified,2030,1762080,,0.65255,0.75
LAO,hydro-unspecified,2050,1690470,,0.6085,0.75
LAO,hydro-unspecified,2023,2659500,,0.56145,0.75
LAO,hydro-unspecified,2030,2553120,,0.538992,0.75
LAO,hydro-unspecified,2050,2366955,,0.4996905,0.75
LAO,hydro-unspecified,2023,2072500,,0.52505,0.75
LAO,hydro-unspecified,2030,2026000,,0.504048,0.75
LAO,hydro-unspecified,2050,1944625,,0.472545,0.75
MMR,hydro-unspecified,2023,1803000,,0.6821,0.75
MMR,hydro-unspecified,2030,1762080,,0.65255,0.75
MMR,hydro-unspecified,2050,1690470,,0.6085,0.75
MMR,hydro-unspecified,2023,2659500,,0.56145,0.75
MMR,hydro-unspecified,2030,2553120,,0.538992,0.75
MMR,hydro-unspecified,2050,2366955,,0.4996905,0.75
MMR,hydro-unspecified,2023,2072500,,0.52505,0.75
MMR,hydro-unspecified,2030,2026000,,0.504048,0.75
MMR,hydro-unspecified,2050,1944625,,0.472545,0.75
MYS,hydro-unspecified,2023,1803000,,0.6821,0.75
MYS,hydro-unspecified,2030,1762080,,0.65255,0.75
MYS,hydro-unspecified,2050,1690470,,0.6085,0.75
MYS,hydro-unspecified,2023,2659500,,0.56145,0.75
MYS,hydro-unspecified,2030,2553120,,0.538992,0.75
MYS,hydro-unspecified,2050,2366955,,0.4996905,0.75
MYS,hydro-unspecified,2023,2072500,,0.52505,0.75
MYS,hydro-unspecified,2030,2026000,,0.504048,0.75
MYS,hydro-unspecified,2050,1944625,,0.472545,0.75
PHL,hydro-unspecified,2023,1803000,,0.6821,0.75
PHL,hydro-unspecified,2030,1762080,,0.65255,0.75
PHL,hydro-unspecified,2050,1690470,,0.6085,0.75
PHL,hydro-unspecified,2023,2659500,,0.56145,0.75
PHL,hydro-unspecified,2030,2553120,,0.538992,0.75
PHL,hydro-unspecified,2050,2366955,,0.4996905,0.75
PHL,hydro-unspecified,2023,2072500,,0.52505,0.75
PHL,hydro-unspecified,2030,2026000,,0.504048,0.75
PHL,hydro-unspecified,2050,1944625,,0.472545,0.75
SGP,hydro-unspecified,2023,1803000,,0.6821,0.75
SGP,hydro-unspecified,2030,1762080,,0.65255,0.75
SGP,hydro-unspecified,2050,1690470,,0.6085,0.75
SGP,hydro-unspecified,2023,2659500,,0.56145,0.75
SGP,hydro-unspecified,2030,2553120,,0.538992,0.75
SGP,hydro-unspecified,2050,2366955,,0.4996905,0.75
SGP,hydro-unspecified,2023,2072500,,0.52505,0.75
SGP,hydro-unspecified,2030,2026000,,0.504048,0.75
SGP,hydro-unspecified,2050,1944625,,0.472545,0.75
THA,hydro-unspecified,2023,1803000,,0.6821,0.75
THA,hydro-unspecified,2030,1762080,,0.65255,0.75
THA,hydro-unspecified,2050,1690470,,0.6085,0.75
THA,hydro-unspecified,2023,2659500,,0.56145,0.75
THA,hydro-unspecified,2030,2553120,,0.538992,0.75
THA,hydro-unspecified,2050,2366955,,0.4996905,0.75
THA,hydro-unspecified,2023,2072500,,0.52505,0.75
THA,hydro-unspecified,2030,2026000,,0.504048,0.75
THA,hydro-unspecified,2050,1944625,,0.472545,0.75
IDN,integrated-gasification-combined-cycle,2023,2730000,68400,13.7,0.5
IDN,integrated-gasification-combined-cycle,2030,2510000,66300,13.3,0.5
IDN,integrated-gasification-combined-cycle,2050,2320000,64300,12.9,0.5
VNM,integrated-gasification-combined-cycle,2023,2730000,68400,13.7,0.5
VNM,integrated-gasification-combined-cycle,2030,2510000,66300,13.3,0.5
VNM,integrated-gasification-combined-cycle,2050,2320000,64300,12.9,0.5
BRN,integrated-gasification-combined-cycle,2023,2689050,,13.4945,0.5
BRN,integrated-gasification-combined-cycle,2030,2472350,,13.1005,0.5
BRN,integrated-gasification-combined-cycle,2050,2285200,,12.7065,0.5
KHM,integrated-gasification-combined-cycle,2023,2689050,,13.4945,0.5
KHM,integrated-gasification-combined-cycle,2030,2472350,,13.1005,0.5
KHM,integrated-gasification-combined-cycle,2050,2285200,,12.7065,0.5
LAO,integrated-gasification-combined-cycle,2023,2689050,,13.4945,0.5
LAO,integrated-gasification-combined-cycle,2030,2472350,,13.1005,0.5
LAO,integrated-gasification-combined-cycle,2050,2285200,,12.7065,0.5
MMR,integrated-gasification-combined-cycle,2023,2689050,,13.4945,0.5
MMR,integrated-gasification-combined-cycle,2030,2472350,,13.1005,0.5
MMR,integrated-gasification-combined-cycle,2050,2285200,,12.7065,0.5
MYS,integrated-gasification-combined-cycle,2023,2689050,,13.4945,0.5
MYS,integrated-gasification-combined-cycle,2030,2472350,,13.1005,0.5
MYS,integrated-gasification-combined-cycle,2050,2285200,,12.7065,0.5
PHL,integrated-gasification-combined-cycle,2023,2689050,,13.4945,0.5
PHL,integrated-gasification-combined-cycle,2030,2472350,,13.1005,0.5
PHL,integrated-gasification-combined-cycle,2050,2285200,,12.7065,0.5
SGP,integrated-gasification-combined-cycle,2023,2689050,,13.4945,0.5
SGP,integrated-gasification-combined-cycle,2030,2472350,,13.1005,0.5
SGP,integrated-gasification-combined-cycle,2050,2285200,,12.7065,0.5
THA,integrated-gasification-combined-cycle,2023,2689050,,13.4945,0.5
THA,integrated-gasification-combined-cycle,2030,2472350,,13.1005,0.5
THA,integrated-gasification-combined-cycle,2050,2285200,,12.7065,0.5
IDN,lithium-ion,2023,471266.807,15000,2,1
IDN,lithium-ion,2030,327923.183,10500,1.8,1
IDN,lithium-ion,2050,229081.019,7350,1.6,1
VNM,lithium-ion,2023,578000,621,2.3,1
VNM,lithium-ion,2030,264000,311,2.07,1
VNM,lithium-ion,2050,157000,155,1.84,1
BRN,lithium-ion,2023,519699.065,,2.126,1
BRN,lithium-ion,2030,289764.28,,1.9134,1
BRN,lithium-ion,2050,188162.674,,1.7008,1
KHM,lithium-ion,2023,519699.065,,2.126,1
KHM,lithium-ion,2030,289764.28,,1.9134,1
KHM,lithium-ion,2050,188162.674,,1.7008,1
LAO,lithium-ion,2023,519699.065,,2.126,1
LAO,lithium-ion,2030,289764.28,,1.9134,1
LAO,lithium-ion,2050,188162.674,,1.7008,1
MMR,lithium-ion,2023,519699.065,,2.126,1
MMR,lithium-ion,2030,289764.28,,1.9134,1
MMR,lithium-ion,2050,188162.674,,1.7008,1
MYS,lithium-ion,2023,519699.065,,2.126,1
MYS,lithium-ion,2030,289764.28,,1.9134,1
MYS,lithium-ion,2050,188162.674,,1.7008,1
PHL,lithium-ion,2023,519699.065,,2.126,1
PHL,lithium-ion,2030,289764.28,,1.9134,1
PHL,lithium-ion,2050,188162.674,,1.7008,1
SGP,lithium-ion,2023,519699.065,,2.126,1
SGP,lithium-ion,2030,289764.28,,1.9134,1
SGP,lithium-ion,2050,188162.674,,1.7008,1
THA,lithium-ion,2023,519699.065,,2.126,1
THA,lithium-ion,2030,289764.28,,1.9134,1
THA,lithium-ion,2050,188162.674,,1.7008,1
