seed,solution,objective_1,objective_2,cfe_score,type,SGPXX-bioenergy-unspecified,SGPXX-open-cycle-gas-turbine,SGPXX-oil-unspecified,SGPXX-photovoltaic-unspecified,SGPXX-waste,SGPXX-battery
1,54,2733231531590016.5,0.0,0.0,feasible,454539.783975038,491776.5232680707,513909.2773046647,783872.6906331434,673744.307487222,749553.777703736
1,55,1910950537180811.0,0.0,0.0,feasible,870366.9959248134,154130.40923545448,970027.754920198,19139.27743914261,725922.4966385176,523599.3791238017
1,56,180849271531869.28,0.0,0.0,feasible,539870.6547776631,915124.9340043776,679427.6252295703,553312.0982171941,54840.21990145449,48185.264459796876
1,57,336978696102197.0,0.0,0.0,feasible,781734.7517184854,204351.5349635852,39186.86231418351,410110.44150795037,999388.5137697968,91088.03184622583
1,58,2579471282564078.5,0.0,0.0,feasible,212737.71477399505,558128.2197190877,763492.6577867679,78416.36006428205,703148.3872593184,707302.0355007937
1,59,3283265104296313.5,0.0,0.0,feasible,984509.9182565328,178155.58313572552,507595.2550174469,447213.40325013944,438166.95926289074,900697.3721253957
1,60,217459091545595.5,0.0,0.0,feasible,312420.4952057682,288998.44001034595,928202.0885848147,730325.5327139337,307904.04652653047,58245.26818062292
1,61,833363946824152.9,0.0,0.0,feasible,439735.8262142578,976318.5007004228,401418.70006412826,942133.2182497128,831897.0754288717,227489.6166492587
1,62,1658141052283657.8,0.0,0.0,feasible,865057.4647803695,235347.97025477423,909085.5171787271,915389.1619070683,175040.6464470928,454129.9209901117
1,63,3159965924099378.0,0.0,0.0,feasible,655270.2803356802,825896.0201086695,122455.31274567964,441907.279199969,731871.0326144373,866816.0197699099
1,64,2411659030515203.0,0.0,0.0,feasible,517279.2175857047,26438.3725812093,676496.9084345675,711667.8328708522,690792.3652015409,661188.9467344757
1,65,419750617784442.5,0.0,0.0,feasible,246654.08125908652,908268.5653284284,542198.7533845919,678289.3506947764,922479.981856107,113832.90848837025
1,66,3012479974923679.5,0.0,0.0,feasible,391382.9380823,632773.7742106376,781311.4058263104,858874.3629126123,218287.75755917508,826288.3909282276
1,67,3016210893613197.0,0.0,0.0,feasible,613638.455367097,365357.7158639722,84098.09855276065,338118.7637164392,284599.9654250761,827313.6091861861
1,68,2663307755643163.0,0.0,0.0,feasible,790395.3590948351,931681.8658353206,862175.0239785063,848821.0712503636,793410.1866399973,730339.4399676911
1,69,3400618580907650.5,0.0,0.0,feasible,437580.5499763521,955644.6732880292,94669.42261603562,484346.1960055822,933970.6518345444,932944.906008908
1,70,1845385195349207.8,0.0,0.0,feasible,971694.8181613461,569114.8899583773,333500.71300127066,268416.1508243999,578852.0842851263,505582.6944600732
1,71,2735202517411163.0,0.0,0.0,feasible,99902.37745405031,307846.18602812174,156405.37275509167,351009.5413893426,655943.9210762104,750095.3844280246
1,72,2417143688984425.5,0.0,0.0,feasible,166464.76329537967,292572.59843183757,536306.0749158802,444719.90550177,822684.6965898878,662696.0747287447
1,73,1263767639037583.8,0.0,0.0,feasible,389488.235833298,943109.3937807576,312419.3729682157,480912.0037802497,155141.3803486869,345760.144707058
1,74,3376758007251338.0,0.0,0.0,feasible,260921.22177287494,669830.2519434912,778910.7408850543,663712.5419629398,315319.71895677154,926388.2646576653
1,75,3528054356228573.0,0.0,0.0,feasible,175876.4328725844,896721.8343774889,302394.3111507756,548696.8682859067,278588.15061858384,967962.9523531448
1,76,1456593075288741.0,0.0,0.0,feasible,140278.55884979462,445460.2509162125,909510.3623771755,822586.8501991406,814323.4519698379,398746.6004019847
1,77,2193499535856384.8,0.0,0.0,feasible,840406.9870175999,199820.95573562002,758122.972680479,474690.6432070478,702911.995161563,601240.9511644788
1,78,1224350871345443.8,0.0,0.0,feasible,796462.5135030423,975200.3450464905,133924.45601009866,962099.2820387722,644927.8141870868,334928.8205023175
1,79,634633774450591.2,0.0,0.0,feasible,331249.07245371584,754532.4268765457,304986.39261346695,952520.5623444951,565959.9804626937,172880.59992181082
1,80,1923676700198639.5,0.0,0.0,feasible,634257.1781105417,308719.22159529594,913857.0548021543,379026.23073283676,337748.5244913291,527096.3984279991
