,TWN-PumpedHydro
501,2702.005376344086
502,3417.1505376344085
503,4083.2150537634407
504,1624.7365591397843
505,2012.8548387096769
506,2649.0161290322576
507,3547.827956989247
508,5077.559139784946
509,6114.715053763441
510,6599.435483870968
511,6692.553763440861
512,6365.822580645161
513,5720.908602150537
514,4825.268817204302
515,3897.97311827957
516,2954.2365591397847
517,2035.6505376344085
518,1180.6774193548388
519,457.1881720430108
520,0.0
521,16.822580645161224
522,493.26881720430106
523,1195.97311827957
524,1950.010752688172
525,2702.005376344086
526,3417.1505376344085
527,4083.2150537634407
528,1624.7365591397843
529,2012.8548387096769
530,2649.0161290322576
531,3547.827956989247
532,5077.559139784946
533,6114.715053763441
534,6599.435483870968
535,6692.553763440861
536,6365.822580645161
537,5720.908602150537
538,4825.268817204302
539,3897.97311827957
540,2954.2365591397847
541,2035.6505376344085
542,1180.6774193548388
543,457.1881720430108
544,0.0
545,16.822580645161224
546,493.26881720430106
547,1195.97311827957
548,1950.010752688172
549,2702.005376344086
550,3417.1505376344085
551,4083.2150537634407
552,1624.7365591397843
553,2012.8548387096769
554,2649.0161290322576
555,3547.827956989247
556,5077.559139784946
557,6114.715053763441
558,6599.435483870968
559,6692.553763440861
560,6365.822580645161
561,5720.908602150537
562,4825.268817204302
563,3897.97311827957
564,2954.2365591397847
565,2035.6505376344085
566,1180.6774193548388
567,457.1881720430108
568,0.0
569,16.822580645161224
570,493.26881720430106
571,1195.97311827957
572,1950.010752688172
573,2702.005376344086
574,3417.1505376344085
575,4083.2150537634407
576,1624.7365591397843
577,2012.8548387096769
578,2649.0161290322576
579,3547.827956989247
580,5077.559139784946
581,6114.715053763441
582,6599.435483870968
583,6692.553763440861
584,6365.822580645161
585,5720.908602150537
586,4825.268817204302
587,3897.97311827957
588,2954.2365591397847
589,2035.6505376344085
590,1180.6774193548388
591,457.1881720430108
592,0.0
593,16.822580645161224
594,493.26881720430106
595,1195.97311827957
596,1950.010752688172
597,2702.005376344086
598,3417.1505376344085
599,4083.2150537634407
600,1624.7365591397843
601,2012.8548387096769
602,2649.0161290322576
603,3547.827956989247
604,5077.559139784946
605,6114.715053763441
606,6599.435483870968
607,6692.553763440861
608,6365.822580645161
609,5720.908602150537
610,4825.268817204302
611,3897.97311827957
612,2954.2365591397847
613,2035.6505376344085
614,1180.6774193548388
615,457.1881720430108
616,0.0
617,16.822580645161224
618,493.26881720430106
619,1195.97311827957
620,1950.010752688172
621,2702.005376344086
622,3417.1505376344085
623,4083.2150537634407
624,1624.7365591397843
625,2012.8548387096769
626,2649.0161290322576
627,3547.827956989247
628,5077.559139784946
629,6114.715053763441
630,6599.435483870968
631,6692.553763440861
632,6365.822580645161
633,5720.908602150537
634,4825.268817204302
635,3897.97311827957
636,2954.2365591397847
637,2035.6505376344085
638,1180.6774193548388
639,457.1881720430108
640,0.0
641,16.822580645161224
642,493.26881720430106
643,1195.97311827957
644,1950.010752688172
645,2702.005376344086
646,3417.1505376344085
647,4083.2150537634407
648,1624.7365591397843
649,2012.8548387096769
650,2649.0161290322576
651,3547.827956989247
652,5077.559139784946
653,6114.715053763441
654,6599.435483870968
655,6692.553763440861
656,6365.822580645161
657,5720.908602150537
658,4825.268817204302
659,3897.97311827957
660,2954.2365591397847
661,2035.6505376344085
662,1180.6774193548388
663,457.1881720430108
664,0.0
665,16.822580645161224
666,493.26881720430106
667,1195.97311827957
668,1950.010752688172
669,2702.005376344086
670,3417.1505376344085
671,4083.2150537634407
672,1624.7365591397843
673,2012.8548387096769
674,2649.0161290322576
675,3547.827956989247
676,5077.559139784946
677,6114.715053763441
678,6599.435483870968
679,6692.553763440861
680,6365.822580645161
681,5720.908602150537
682,4825.268817204302
683,3897.97311827957
684,2954.2365591397847
685,2035.6505376344085
686,1180.6774193548388
687,457.1881720430108
688,0.0
689,16.822580645161224
690,493.26881720430106
691,1195.97311827957
692,1950.010752688172
693,2702.005376344086
